Month,Rain
2003-01-01,22.1
2003-02-01,35.3
2003-03-01,6.5
2003-04-01,3.4
2003-05-01,10.3
2003-06-01,57.1
2003-07-01,306.4
2003-08-01,190.3
2003-09-01,73.7
2003-10-01,0
2003-11-01,0.5
2003-12-01,15.1
2004-01-01,34.3
2004-02-01,0.9
2004-03-01,0
2004-04-01,25
2004-05-01,46.4
2004-06-01,64.9
2004-07-01,21
2004-08-01,250
2004-09-01,21.6
2004-10-01,58.4
2004-11-01,0.1
2004-12-01,1.4
2005-01-01,17.2
2005-02-01,38.9
2005-03-01,39.4
2005-04-01,4.3
2005-05-01,9.4
2005-06-01,59.7
2005-07-01,198.1
2005-08-01,54.8
2005-09-01,163.8
2005-10-01,0
2005-11-01,1.3
2005-12-01,0
2006-01-01,2.2
2006-02-01,0.3
2006-03-01,39.3
2006-04-01,1.6
2006-05-01,33.6
2006-06-01,54.9
2006-07-01,147.6
2006-08-01,35.8
2006-09-01,52.3
2006-10-01,3.6
2006-11-01,2
2006-12-01,3.9
2007-01-01,1.8
2007-02-01,87.9
2007-03-01,49.3
2007-04-01,1.9
2007-05-01,22.1
2007-06-01,96.3
2007-07-01,73.2
2007-08-01,94.1
2007-09-01,50.9
2007-10-01,0
2007-11-01,0.3
2007-12-01,2.1
2008-01-01,2.7
2008-02-01,2.5
2008-03-01,0
2008-04-01,16.4
2008-05-01,68
2008-06-01,150.6
2008-07-01,116.2
2008-08-01,164.9
2008-09-01,104.8
2008-10-01,1.8
2008-11-01,5
2008-12-01,0.1
2009-01-01,4.1
2009-02-01,7.1
2009-03-01,6.3
2009-04-01,13
2009-05-01,9.4
2009-06-01,14.6
2009-07-01,78.7
2009-08-01,56.2
2009-09-01,157.5
2009-10-01,0.9
2009-11-01,2.4
2009-12-01,0.2
2010-01-01,4.8
2010-02-01,10.5
2010-03-01,0.6
2010-04-01,0.2
2010-05-01,2.4
2010-06-01,19.9
2010-07-01,176.4
2010-08-01,183.5
2010-09-01,185.7
2010-10-01,1.6
2010-11-01,2.5
2010-12-01,10
2011-01-01,0.6
2011-02-01,20.8
2011-03-01,3.9
2011-04-01,5.3
2011-05-01,23
2011-06-01,73.7
2011-07-01,77.1
2011-08-01,112.3
2011-09-01,116.1
2011-10-01,0
2011-11-01,0
2011-12-01,0.2
2012-01-01,4.6
2012-02-01,0.1
2012-03-01,0.3
2012-04-01,13.6
2012-05-01,3.6
2012-06-01,4.4
2012-07-01,57.9
2012-08-01,163.5
2012-09-01,57.1
2012-10-01,4
2012-11-01,0.6
2012-12-01,3.9
2013-01-01,21.1
2013-02-01,52.1
2013-03-01,5.3
2013-04-01,3.3
2013-05-01,1.4
2013-06-01,61.9
2013-07-01,96.8
2013-08-01,161.8
2013-09-01,42.8
2013-10-01,11
2013-11-01,1.7
2013-12-01,2.1
2014-01-01,13
2014-02-01,17.3
2014-03-01,26.7
2014-04-01,7.5
2014-05-01,20.3
2014-06-01,25.9
2014-07-01,72.4
2014-08-01,34.9
2014-09-01,67.2
2014-10-01,10.5
2014-11-01,0.2
2014-12-01,9.6
