Month,WPI
2004-04-01,78.7
2004-05-01,98.9
2004-06-01,107.3
2004-07-01,110.4
2004-08-01,125.3
2004-09-01,126.8
2004-10-01,130
2004-11-01,116.5
2004-12-01,79.8
2005-01-01,73.5
2005-02-01,72
2005-03-01,77.7
2005-04-01,99.9
2005-05-01,109.8
2005-06-01,116.5
2005-07-01,121.1
2005-08-01,116.4
2005-09-01,109.2
2005-10-01,118.2
2005-11-01,149.9
2005-12-01,137.3
2006-01-01,126.9
2006-02-01,103.9
2006-03-01,113
2006-04-01,116.6
2006-05-01,128.6
2006-06-01,146.5
2006-07-01,148.8
2006-08-01,146.6
2006-09-01,157.8
2006-10-01,180.4
2006-11-01,180
2006-12-01,113.8
2007-01-01,85.1
2007-02-01,84.8
2007-03-01,102.1
2007-04-01,115.3
2007-05-01,133.7
2007-06-01,150.4
2007-07-01,164.1
2007-08-01,169.4
2007-09-01,169.9
2007-10-01,176.5
2007-11-01,174.2
2007-12-01,153.3
2008-01-01,131.5
2008-02-01,114.1
2008-03-01,109.8
2008-04-01,102.7
2008-05-01,104
2008-06-01,106.9
2008-07-01,117.3
2008-08-01,118.9
2008-09-01,127
2008-10-01,128.2
2008-11-01,128.5
2008-12-01,105.6
2009-01-01,92.7
2009-02-01,88.5
2009-03-01,103.2
2009-04-01,143.5
2009-05-01,172.2
2009-06-01,199.8
2009-07-01,232.7
2009-08-01,244.5
2009-09-01,268.7
2009-10-01,303.6
2009-11-01,293.6
2009-12-01,240.1
2010-01-01,149.3
2010-02-01,121.5
2010-03-01,105.4
2010-04-01,110.3
2010-05-01,118.1
2010-06-01,125.3
2010-07-01,133.7
2010-08-01,133.3
2010-09-01,139.3
2010-10-01,153.3
2010-11-01,154.7
2010-12-01,171.5
2011-01-01,128.7
2011-02-01,108.3
2011-03-01,106.9
2011-04-01,109.1
2011-05-01,118.2
2011-06-01,125.9
2011-07-01,143.1
2011-08-01,154.8
2011-09-01,159.2
2011-10-01,154.9
2011-11-01,140.3
2011-12-01,110.8
2012-01-01,98.9
2012-02-01,105.9
2012-03-01,126.6
2012-04-01,173.8
2012-05-01,203.5
2012-06-01,232.8
2012-07-01,247.9
2012-08-01,264.3
2012-09-01,242.7
2012-10-01,231
2012-11-01,235.5
2012-12-01,175.1
2013-01-01,171.2
2013-02-01,159
2013-03-01,146.6
2013-04-01,172.7
2013-05-01,206.1
2013-06-01,213.3
2013-07-01,232.7
2013-08-01,224
2013-09-01,212.9
2013-10-01,231.4
2013-11-01,317.9
2013-12-01,267.5
2014-01-01,198.6
2014-02-01,171.3
2014-03-01,192.6
2014-04-01,229.7
2014-05-01,282.6
2014-06-01,312.4
2014-07-01,344
2014-08-01,371.3
2014-09-01,411.9
2014-10-01,423.1
2014-11-01,426.5
2014-12-01,268.9
2015-01-01,182.7
2015-02-01,162.4
2015-03-01,151.2
2015-04-01,135.4
2015-05-01,139.3
2015-06-01,151.2
2015-07-01,175.9
2015-08-01,179.1
2015-09-01,173.1
2015-10-01,177.3
2015-11-01,201
2015-12-01,173.7
2016-01-01,151.5
2016-02-01,152.2
2016-03-01,156.6
